Gene	PRAS	log2PRAS	rank
AGAP1	4.8783782492255	2.55541819340993	161
GIGYF2	4.82166316730952	2.5414313697063	162
GNAI2	4.73358517696024	2.51943752983287	163
CHTOP	4.72769595994148	2.51795491286641	164
ATAD3A	4.72220752892594	2.51657182124079	165
SNX25	4.635528068078	2.49455080214598	166
SPP1	4.60788184031523	2.48745595166895	167
RPL29	4.58501158236189	2.48156027261526	168
EIF4G1	4.57090981320209	2.47791296056471	169
PLOD2	4.45749876714189	2.44823989930888	170
MOGS	4.44529853275778	2.44501114534675	171
SH3D19	4.43330107854291	2.44182899408925	172
B3GNT2	4.43083677939798	2.4411745045636	173
PGRMC2	4.41762595039385	2.43766078886281	174
ATP5ME	4.392953526964	2.43107560167576	175
PRRC2C	4.34694444586398	2.41871468737934	176
CLPTM1L	4.34577462644738	2.41839901600214	177
ID2	4.30969766201337	2.40862971527952	178
RASGRF2	4.28975965928823	2.40320217484782	179
CFI	4.27701205543083	2.39972127939808	180
INO80D	4.25031781372818	2.39240475504772	181
SFPQ	4.23983048171287	2.38952013864284	182
MRPS5	4.16409158816751	2.36851458790756	183
MANF	4.13841262783327	2.36132274703636	184
SRSF11	4.12640266677265	2.35794680335448	185
LRPAP1	4.09741116549251	2.34976472807019	186
MZT2B	4.06423669985097	2.34034483717554	187
PROC	4.06180004409542	2.33965051790105	188
MCL1	4.05487894982214	2.33767654404079	189
PDHB	4.02039606686888	2.32780118512576	190
NCL	3.96124499586605	2.310702202059	191
CHD1L	3.92737971267059	2.30082065258752	192
AMPD2	3.91052713509548	2.29587790322996	193
HMGCR	3.89041115651997	2.28995576344672	194
CHRD	3.88784503653629	2.28919854690695	195
MARCHF7	3.78242705329578	2.25774296320787	196
NUCKS1	3.76382239714643	2.25211962824562	197
ANXA5	3.75346063570487	2.24897821326375	198
ROBO1	3.74540383089645	2.24653086491579	199
FRG1	3.73563693438554	2.24355847855138	200
SNORD2	3.72805902985594	2.24124804768736	201
GMPS	3.71802427380043	2.23818284112961	202
AGXT	3.71531915933602	2.23735542392435	203
DDX18	3.67712954633369	2.22562338883059	204
LRBA	3.65921719384765	2.22008758461752	205
H4C14	3.64778614737617	2.21654368939269	206
NBPF15	3.64166131470184	2.21464125826489	207
CALM2	3.63914545783109	2.21385908179923	208
XRCC5	3.63515800949442	2.21261852021617	209
